name,side,definition,n_train,wr_train,roi_train,n_oos,wr_oos,avg_cote_oos,roi_oos
"H2 A segdelta>=0.12 cote[3.0,6.0)",A,"bet AWAY: odds_away in [3.0,6.0) AND train (away_WR_segment - away_WR_global)(team_b) >= 0.12 (n_seg>=8)",50,0.42,0.705,23,0.17391304347826086,4.625217391304347,-0.31434782608695655
"H2 H value edge>=0.05 cote[2.0,2.5)",H,"bet HOME: odds_home in [2.0,2.5) AND (train_home_WR(team_a) - 1/odds_home) >= 0.05",197,0.4263959390862944,-0.04050761421319799,71,0.4507042253521127,2.2618309859154935,0.020985915492957738
"H2 A value edge>=0.05 cote[2.0,2.5)",A,"bet AWAY: odds_away in [2.0,2.5) AND (train_away_WR(team_b) - 1/odds_away) >= 0.05",42,0.5,0.08071428571428572,18,0.3333333333333333,2.2044444444444444,-0.2627777777777778
"H2 H value edge>=0.1 cote[2.0,2.5)",H,"bet HOME: odds_home in [2.0,2.5) AND (train_home_WR(team_a) - 1/odds_home) >= 0.1",69,0.43478260869565216,-0.010579710144927548,28,0.5,2.281428571428571,0.14464285714285716
"H2 A value edge>=0.1 cote[2.0,2.5)",A,"bet AWAY: odds_away in [2.0,2.5) AND (train_away_WR(team_b) - 1/odds_away) >= 0.1",3,0.3333333333333333,-0.17333333333333334,6,0.5,2.356666666666667,0.15666666666666665
"H2 H value edge>=0.15 cote[2.0,2.5)",H,"bet HOME: odds_home in [2.0,2.5) AND (train_home_WR(team_a) - 1/odds_home) >= 0.15",57,0.40350877192982454,-0.08719298245614034,22,0.5454545454545454,2.2877272727272726,0.24954545454545454
"H2 A value edge>=0.15 cote[2.0,2.5)",A,"bet AWAY: odds_away in [2.0,2.5) AND (train_away_WR(team_b) - 1/odds_away) >= 0.15",0,,,0,,,
"H2 H segdelta>=0.08 cote[2.0,2.5)",H,"bet HOME: odds_home in [2.0,2.5) AND train (home_WR_segment - home_WR_global)(team_a) >= 0.08 (n_seg>=8)",44,0.6363636363636364,0.41409090909090907,17,0.5294117647058824,2.2694117647058825,0.19294117647058823
"H2 A segdelta>=0.08 cote[2.0,2.5)",A,"bet AWAY: odds_away in [2.0,2.5) AND train (away_WR_segment - away_WR_global)(team_b) >= 0.08 (n_seg>=8)",25,0.64,0.4444000000000001,9,0.2222222222222222,2.278888888888889,-0.48000000000000004
"H2 H segdelta>=0.12 cote[2.0,2.5)",H,"bet HOME: odds_home in [2.0,2.5) AND train (home_WR_segment - home_WR_global)(team_a) >= 0.12 (n_seg>=8)",38,0.6842105263157895,0.5247368421052632,14,0.5,2.2721428571428572,0.13357142857142854
"H2 A segdelta>=0.12 cote[2.0,2.5)",A,"bet AWAY: odds_away in [2.0,2.5) AND train (away_WR_segment - away_WR_global)(team_b) >= 0.12 (n_seg>=8)",15,0.6666666666666666,0.48733333333333334,7,0.14285714285714285,2.2585714285714285,-0.6799999999999999
"H2 H value edge>=0.05 cote[2.5,3.5)",H,"bet HOME: odds_home in [2.5,3.5) AND (train_home_WR(team_a) - 1/odds_home) >= 0.05",167,0.3652694610778443,0.04305389221556888,62,0.45161290322580644,2.897258064516128,0.2990322580645162
"H2 A value edge>=0.05 cote[2.5,3.5)",A,"bet AWAY: odds_away in [2.5,3.5) AND (train_away_WR(team_b) - 1/odds_away) >= 0.05",159,0.3270440251572327,-0.002830188679245276,65,0.3076923076923077,3.080923076923077,-0.041692307692307695
"H2 H value edge>=0.1 cote[2.5,3.5)",H,"bet HOME: odds_home in [2.5,3.5) AND (train_home_WR(team_a) - 1/odds_home) >= 0.1",134,0.3656716417910448,0.045373134328358225,51,0.49019607843137253,2.892941176470588,0.4080392156862745
"H2 A value edge>=0.1 cote[2.5,3.5)",A,"bet AWAY: odds_away in [2.5,3.5) AND (train_away_WR(team_b) - 1/odds_away) >= 0.1",77,0.2597402597402597,-0.222987012987013,32,0.25,3.0128125,-0.23875000000000002
"H2 H value edge>=0.15 cote[2.5,3.5)",H,"bet HOME: odds_home in [2.5,3.5) AND (train_home_WR(team_a) - 1/odds_home) >= 0.15",79,0.3291139240506329,-0.02,30,0.5333333333333333,2.986333333333333,0.5826666666666668
"H2 A value edge>=0.15 cote[2.5,3.5)",A,"bet AWAY: odds_away in [2.5,3.5) AND (train_away_WR(team_b) - 1/odds_away) >= 0.15",63,0.25396825396825395,-0.2619047619047619,24,0.25,2.8970833333333332,-0.2683333333333333
"H2 H segdelta>=0.08 cote[2.5,3.5)",H,"bet HOME: odds_home in [2.5,3.5) AND train (home_WR_segment - home_WR_global)(team_a) >= 0.08 (n_seg>=8)",31,0.41935483870967744,0.16935483870967738,9,0.4444444444444444,2.895555555555555,0.31888888888888883
"H2 A segdelta>=0.08 cote[2.5,3.5)",A,"bet AWAY: odds_away in [2.5,3.5) AND train (away_WR_segment - away_WR_global)(team_b) >= 0.08 (n_seg>=8)",72,0.4305555555555556,0.25111111111111106,24,0.375,2.981666666666667,0.09874999999999996
"H2 H segdelta>=0.12 cote[2.5,3.5)",H,"bet HOME: odds_home in [2.5,3.5) AND train (home_WR_segment - home_WR_global)(team_a) >= 0.12 (n_seg>=8)",20,0.5,0.414,5,0.6,2.778,0.752
