cond,cval,mkt,sel,n_tr,wr_tr,roi_tr,n_oos,wr_oos,avg_cote,roi_oos,wins_oos,roi_h1,roi_h2
favxseg,Hfav<1.3|MS_mid,Les deux équipes marquent / 1ère mi temps,Oui,110,0.2545454545454545,0.1333636363636364,47,0.2127659574468085,4.519361702127659,-0.06659574468085108,10,-0.07535714285714287,-0.05368421052631581
profxseg,home_crush|MS_mid,Les deux équipes marquent / 1ère mi temps,Oui,110,0.2545454545454545,0.1333636363636364,47,0.2127659574468085,4.519361702127659,-0.06659574468085108,10,-0.07535714285714287,-0.05368421052631581
prof,away_slight,+/-,> 3.5,505,0.38613861386138615,0.17326732673267325,223,0.3094170403587444,3.0078026905829596,-0.07627802690582962,69,0.0018691588785046663,-0.14836206896551724
seg,FS,Total equipe extérieur,< 3.5,86,0.9302325581395349,0.002093023255813981,15,0.8666666666666667,1.0793333333333335,-0.0793333333333333,13,-0.05249999999999996,-0.10999999999999997
profxobin,"away_slight|[1.0,1.3)",G/NG equipe extérieur,Oui,505,0.8712871287128713,-0.01207920792079208,223,0.8071748878923767,1.1321076233183858,-0.08695067264573993,180,-0.036261682242990645,-0.13370689655172413
prof,away_slight,G/NG equipe extérieur,Oui,505,0.8712871287128713,-0.01207920792079208,223,0.8071748878923767,1.1321076233183858,-0.08695067264573993,180,-0.036261682242990645,-0.13370689655172413
favxseg,Afav<1.6|MS_early,Total equipe extérieur,< 3.5,72,0.8888888888888888,0.012083333333333359,35,0.8,1.1474285714285715,-0.09199999999999997,28,-0.15117647058823527,-0.036111111111111094
profxseg,away_strong|MS_early,Total equipe extérieur,< 3.5,72,0.8888888888888888,0.012083333333333359,35,0.8,1.1474285714285715,-0.09199999999999997,28,-0.15117647058823527,-0.036111111111111094
profxseg,home_slight|MS_mid,Les deux équipes marquent / 1ère mi temps,Oui,382,0.29842931937172773,0.1150261780104712,184,0.24456521739130435,3.7839673913043477,-0.0926086956521739,45,-0.18707070707070705,0.01741176470588234
profxobin,"away_slight|[2.5,3.5)",+/-,> 3.5,300,0.4033333333333333,0.1823,144,0.3125,2.940486111111111,-0.09583333333333334,45,-0.10028169014084508,-0.09150684931506849
profxseg,other|DS,G/NG equipe extérieur,Oui,70,0.8428571428571429,0.04171428571428571,27,0.7037037037037037,1.2655555555555555,-0.10370370370370371,19,-0.05000000000000001,-0.14666666666666667
profxseg,away_strong|MS_late,Les deux équipes marquent / 1ère mi temps,Non,55,0.8363636363636363,0.0038181818181818095,28,0.75,1.185,-0.10464285714285716,21,-0.15642857142857144,-0.05285714285714289
favxseg,Afav<1.6|MS_late,Les deux équipes marquent / 1ère mi temps,Non,55,0.8363636363636363,0.0038181818181818095,28,0.75,1.185,-0.10464285714285716,21,-0.15642857142857144,-0.05285714285714289
profxseg,away_slight|MS_mid,G/NG equipe extérieur,Oui,179,0.888268156424581,0.007988826815642452,81,0.7901234567901234,1.131604938271605,-0.10604938271604938,64,-0.10552631578947368,-0.10651162790697673
profxobin,"away_slight|[8.0,35.0)",Total de buts,5,335,0.11044776119402985,0.130955223880597,140,0.09285714285714286,10.081142857142856,-0.10800000000000003,13,-0.22059701492537317,-0.004657534246575292
profxseg,away_strong|MS_late,Total de buts,1,61,0.16393442622950818,0.21885245901639347,28,0.14285714285714285,7.3307142857142855,-0.11035714285714282,4,0.3357142857142857,-0.5564285714285714
favxseg,Afav<1.6|MS_late,Total de buts,1,61,0.16393442622950818,0.21885245901639347,28,0.14285714285714285,7.3307142857142855,-0.11035714285714282,4,0.3357142857142857,-0.5564285714285714
profxseg,home_slight|FS,Multi-Buts,Le total de buts est supérieur à 4,107,0.21495327102803738,0.2998130841121495,31,0.12903225806451613,7.481290322580644,-0.11387096774193546,4,-0.37625,0.7857142857142857
seg,DS,Total equipe extérieur,> 3.5,159,0.10062893081761007,0.5333333333333334,50,0.06,17.3322,-0.11459999999999994,3,-0.8515999999999999,0.6224000000000001
