segment,team_a,team_b,journee,odds_h,odds_a,pick,cote,strength,actual,won,roi,n_supporting
FS,Liverpool,Spurs,34,1.35,7.17,2,7.17,1.0,2,True,6.17,1
FS,London Blues,A. Villa,34,1.63,5.03,1,1.63,0.65,1,True,0.6299999999999999,1
FS,Brentford,Manchester Blue,35,3.83,1.82,1,3.83,0.44,2,False,-1.0,1
FS,Leeds,West Ham,35,4.03,1.81,1,4.03,0.44,X,False,-1.0,1
FS,Burnley,Liverpool,35,5.53,1.53,1,5.53,0.544,2,False,-1.0,1
FS,Brighton,London Blues,35,1.98,3.36,2,3.36,0.65,1,False,-1.0,1
FS,Wolverhampton,Liverpool,36,3.78,1.85,1,3.78,0.44,X,False,-1.0,1
FS,London Blues,Leeds,36,1.29,10.76,1,1.29,0.464,1,True,0.29000000000000004,1
FS,Everton,Spurs,36,2.61,2.5,2,2.5,1.0,2,True,1.5,1
FS,Manchester Red,Sunderland,36,1.54,5.51,2,5.51,0.55,2,True,4.51,1
FS,Newcastle,London Blues,37,1.48,5.92,2,5.92,0.65,1,False,-1.0,1
FS,Bournemouth,London Reds,37,5.85,1.6,1,5.85,0.544,2,False,-1.0,1
FS,Spurs,West Ham,37,1.68,4.19,1,1.68,1.0,1,True,0.6799999999999999,1
DS,Brighton,London Blues,1,1.94,3.5,2,3.5,1.272,2,True,2.5,2
DS,Manchester Red,Liverpool,1,2.51,2.53,1,2.51,0.656,2,False,-1.0,1
DS,Wolverhampton,A. Villa,1,2.42,2.84,1,2.42,0.656,1,True,1.42,1
DS,N. Forest,Sunderland,1,1.66,4.78,2,4.78,0.472,1,False,-1.0,1
DS,Everton,Wolverhampton,2,1.91,4.07,2,4.07,0.472,1,False,-1.0,1
DS,Fulham,Spurs,2,2.35,2.56,1,2.35,0.306,2,False,-1.0,1
DS,Sunderland,C. Palace,2,6.38,1.53,2,1.53,1.0,1,False,-1.0,1
DS,Bournemouth,Burnley,3,1.76,4.21,2,4.21,0.472,1,False,-1.0,1
DS,Wolverhampton,Manchester Red,3,2.44,2.81,1,2.44,0.656,1,True,1.44,1
DS,Leeds,A. Villa,3,5.36,1.6,2,1.6,1.0,2,True,0.6000000000000001,1
DS,Brighton,West Ham,3,1.66,4.56,2,4.56,1.472,X,False,-1.0,2
MS_early,Burnley,Manchester Blue,4,7.75,1.42,1,7.75,0.448,2,False,-1.0,1
MS_early,Sunderland,Spurs,4,8.04,1.32,1,8.04,0.448,2,False,-1.0,1
MS_early,Bournemouth,Everton,5,2.06,3.97,1,2.06,0.5,X,False,-1.0,1
MS_early,Everton,Manchester Blue,6,5.19,1.72,1,5.19,0.448,2,False,-1.0,1
MS_early,Manchester Red,Bournemouth,6,1.63,4.73,2,4.73,0.5,1,False,-1.0,1
MS_early,Burnley,Everton,7,2.7,2.84,1,2.7,0.48,X,False,-1.0,1
MS_early,Sunderland,Liverpool,7,11.66,1.22,1,11.66,0.448,2,False,-1.0,1
MS_early,Brentford,Bournemouth,8,1.7,3.96,2,3.96,0.5,1,False,-1.0,1
MS_early,Bournemouth,N. Forest,9,1.83,4.08,1,1.83,0.5,1,True,0.8300000000000001,1
MS_early,Fulham,Bournemouth,11,1.84,3.63,2,3.63,0.5,X,False,-1.0,1
MS_early,Leeds,Newcastle,12,7.75,1.35,1,7.75,0.448,2,False,-1.0,1
FS,Sunderland,A. Villa,34,6.27,1.5,1,6.27,1.094,2,False,-1.0,2
FS,Manchester Blue,London Blues,34,1.32,7.76,2,7.76,0.65,1,False,-1.0,1
FS,Burnley,Newcastle,34,4.17,1.77,1,4.17,0.44,2,False,-1.0,1
FS,A. Villa,London Blues,36,1.65,4.48,2,4.48,0.65,2,True,3.4800000000000004,1
FS,Sunderland,Manchester Red,36,6.34,1.5,1,6.34,1.094,X,False,-1.0,2
FS,Brighton,Sunderland,37,1.51,5.52,2,5.52,0.55,1,False,-1.0,1
FS,Wolverhampton,Manchester Blue,37,5.56,1.58,1,5.56,0.544,X,False,-1.0,1
FS,Spurs,Leeds,37,1.33,8.26,1,1.33,1.0,1,True,0.33000000000000007,1
FS,N. Forest,C. Palace,37,2.04,3.69,2,3.69,1.0,1,False,-1.0,1
FS,Everton,London Blues,37,2.54,2.75,2,2.75,0.65,2,True,1.75,1
DS,Fulham,Brighton,1,2.2,2.76,1,2.2,0.306,1,True,1.2000000000000002,1
DS,Bournemouth,Burnley,1,1.71,4.47,2,4.47,0.472,X,False,-1.0,1
